Exhibit#,Document Title,Date,Type,Significance,Laws Supported,Damages Impact
EX-001,ROI HS-FEMA-02430-2024 Part 1,2025,Official Investigation,EEOC findings establish violations,"Rehabilitation Act, ADA, ADEA",Prima facie case
EX-002,ROI HS-FEMA-02430-2024 Part 2,2025,Official Investigation,Witness affidavits and contradictions,"18 USC §1001, perjury",Impeachment evidence
EX-003,Termination Letter,2025-01-06,Adverse Action,17 days after EEO filing proves retaliation,"42 USC 2000e-3(a), 5 USC §7513","$900,000 lost wages"
EX-004,Formal EEO Complaint HS-FEMA-02430-2024,2024-12-20,Protected Activity,Establishes protected status and claims,"29 CFR 1614, Title VII",Retaliation timeline
EX-005,RAR001234 Initial Request,2018-08-23,RA Request,Pattern begins - 111 days ignored,"FEMA Instruction 256-022-01, Rehabilitation Act",Pattern evidence
EX-006,Escalation to McAllister/Brathwaite,2018-12-12,Communication,"Nearly four months have passed quote","MD-110, ADEA",Leadership awareness
EX-007,COVID Accommodation Request,2020-09-15,RA Request,Start of 1340-day extreme violation,"ADA, Rehabilitation Act, ADEA",Willful indifference
EX-008,RAR0046767 Denial,2024-08-05,Agency Decision,No virtual deployment assessment,"Rehabilitation Act §501, EEOC Guidance",Bad faith denial
EX-009,HIPAA Breach Email - Clemons,2024-07-10,Privacy Violation,Unencrypted PHI disclosure,"HIPAA 45 CFR §164.312, Privacy Act","Privacy damages"
EX-010,Hurricane Beryl Property Damage Report,2024-07-08,Financial Loss,Documents $15K damage + no welfare check,"FEMA Directive 123-0-2-1, duty of care","$15,000 economic"
EX-011,FMLA Approval for COPD/CAD,2019-05-01,Medical Evidence,Establishes disability and need,"ADA, Rehabilitation Act",Medical necessity proven
EX-012,Heart Attack Medical Records,2022-04-20,Medical Evidence,Life-threatening condition ignored,"ADA, duty to accommodate",Health deterioration
EX-013,Underhill Supervisor Endorsement,2022-08-05,Management Support,"RA request is reasonable - ignored","MD-110 §VI.A, Rehabilitation Act",Management agreement
EX-014,Aguilo Procedural Disarray Email,2022-08-15,Admission,Admits systemic RA processing failures,"MD-110 §III.A, pattern evidence",System breakdown
EX-015,Houston Deployment Overruled Email Chain,2024-05-29,Accommodation Blocked,9-minute reversal shows bad faith,"Rehabilitation Act, ADEA",Pretext evidence
EX-016,Performance Reviews 2020-2023,Various,Performance Evidence,38 months exemplary remote work,"ADA essential functions analysis",Capability proven
EX-017,Brasher Affidavit,2025-04-08,Witness Statement,Contradicts known facts about termination,"18 USC §1001, impeachment",Credibility attack
