Term,File_Count,Found_In
"1340 days",16,"damages_calculation_report.json; critical_terms.csv; damage_calculations_1340_day.json; EEOC_SEARCH_VOCABULARY.md; evidence_index_HS-FEMA-02430-2024.csv; search_index.json; CORRECT_FILES_TO_USE.md; CRITICAL_TERMS_REPORT.md; email_index_HS-FEMA-02430-2024.html; keyword_search.html; ENHANCED_MASTER_INDEX.html; MASTER_TIMELINE_2018-2025.csv; damage_calculations_report.md; cursor_current_processing_status_update-052525.md; document_scan_results.json; email_statistics_HS-FEMA-02430-2024.txt"
"1340-day",14,"damages_calculation_report.json; critical_terms.csv; EXHIBIT_LIST_PRIORITY.csv; test_dashboard.html; github_pages_setup_guide.md; evidence_index_HS-FEMA-02430-2024.csv; search_index.json; CRITICAL_TERMS_REPORT.md; keyword_search.html; CASE_SUMMARY.md; MASTER_TIMELINE_2018-2025.csv; CASE_SUMMARY.json; cursor_current_processing_status_update-052525.md; GITHUB_PAGES_AND_EMAIL_INDEX_SUMMARY.md"
"45 days",54,"damages_calculation_report.json; 24_0401_crcl_dhs-hq-reasonable-accommodation-procedures-instruction-manual-508-APRIL 2024.txt; Meindel III Max J. (FINAL Notice of Termination of Appointment)-1.txt; COMPREHENSIVE_VIOLATIONS_ANALYSIS.md; FW_ Request to consider Reassignment - Reasonable Accommodation of Last Resort.txt; Meindl_1stLineDecisionFTTWRequest - Oke review (002) to JLJ.txt; fema_manual_1430_1_reasonable_accommodations.txt; fema_manual_1430_1_reasonable_accommodations[1].txt; PDTFL Position Assist.txt; Final Agency Denial Letter _Meindl Max (RAR0046767)- FINAL-2.txt; RAR#0046767 Max Meindl.txt; Request Reasonable Accommodation Form 256-0-1-01-02-2024.txt; Reasonable Accomodation-FEMA Form 256-0-1-08232018.txt; search_index.json; 256-0-2 MANAGEMENT RESPONSE to REQ for RA Meindl-first.txt; paradocs_case_analysis_complete.json; 256-0-2 MANAGEMENT RESPONSE to REQ for RA Max s.txt; 0046767 Max Meindl-Revised-second.txt; FEMA EEO Policy Reaffirmation 2024 Final - F1 Signed - CLEAN (002).txt; document_scan_results.json; RAR#0046767 Max Meindl-Revised.txt; [Compare Report] 06-22-RA POLICY.txt; Merge Result.txt; 0046767 Max Meindl-Revised.txt; Binder2.txt; Final Agency Denial Letter _Meindl Max (RAR0046767)- FINAL.txt; eeo_timeline_enhanced.json; DHS Reasonable Accommodation.txt; 806726.txt; VISUAL_TIMELINE_EXHIBIT.html; implementing_accommodation.txt; Merge Result-V3-FINAL PAGE NUMBERS.txt; EMAILS-3.txt; evidence_index_HS-FEMA-02430-2024.csv; CRITICAL_TERMS_REPORT.md; Final Agency Denial Letter _Meindl Max (RAR0046767)- FINAL-2-1.txt; fi-256-22-0001-ra_instruction_final-signature-06-28-2024.txt; 256-0-2 MANAGEMENT RESPONSE to REQ for RA Meindl.txt; 1430_1.txt; md-110.txt; 06-22-RA POLICY.txt; 24_0401_crcl_dhs-hq-reasonable-accommodation-procedures-instruction-manual-508.txt; critical_terms.csv; meindel iii max j. (final notice of termination of appointment) (002).txt; TRULY_COMPREHENSIVE_EMAIL_INDEX.html; paradocs_master_timeline_enhanced.html; LETTER_TO_RICK_GUERRA.md; CURSOR_AI_RECOMMENDATIONS_ANALYSIS.md; 0046767 Max Meindl.txt; keyword_search.html; eeo_timeline_comprehensive_report.json; EEO FILES 1.txt; cursor_current_processing_status_update-052525.md; FI-256-22-0001-RA Instruction 2024 Final Signature- 06-28-2024.txt"
"45-day",23,"damages_calculation_report.json; Case-HS-FEMA-02430-2024-MEINDL-Detailed Table of Events.txt; ADMINISTRATIVE_HEARING_PORTAL.html; eeo_comprehensive_timeline.csv; Detailed Table of Events.txt; RAR0023278_CRITICAL_EVIDENCE_EXTRACT.html; search_index.json; AMENDED_COMPLAINT_DRAFT.md; paradocs_comprehensive_eeo_investigation.html; eeo_timeline_events.csv; eeo_timeline_enhanced.json; VISUAL_TIMELINE_EXHIBIT.html; CRITICAL_TERMS_REPORT.md; eeo_comprehensive_investigation.json; AMENDED_COMPLAINT_FORMATTED.html; critical_terms.csv; md-110.txt; paradocs_master_timeline_enhanced.html; keyword_search.html; eeo_timeline_comprehensive_report.json; MEINDL-CASE-HS-FEMA-02430-2024-Comprehensive table of violations.txt; CASE_VIOLATIONS_SUMMARY.html; CURSOR_AI_RECOMMENDATIONS_ANALYSIS.md"
"December 20, 2024",9,"critical_terms.csv; eeo_comprehensive_timeline.csv; CRITICAL_TERMS_REPORT.md; search_index.json; keyword_search.html; MEINDL-CASE-HS-FEMA-02430-2024-Comprehensive table of violations.txt; CASE_VIOLATIONS_SUMMARY.html; eeo_comprehensive_investigation.json; Fw_ EEO Complaint Form.eml[1].txt"
"FOIA",25,"UNIFIED_PARADOCS_DASHBOARD.html; ADMINISTRATIVE_HEARING_PORTAL.html; package-lock.json; paradocs_dashboard.html; search_index.json; AMENDED_COMPLAINT_DRAFT.md; ADR_MEDIATION_PORTAL.html; document_scan_results.json; l4060---fema-contract.txt; VISUAL_TIMELINE_EXHIBIT.html; CRITICAL_TERMS_REPORT.md; ParaDocs Programing Guidelinnes.txt; paradocs_legal_strategy_dashboard.html; eeo_comprehensive_investigation.json; AMENDED_COMPLAINT_FORMATTED.html; paradocs_all_files.csv; critical_terms.csv; PARADOCS_FINAL_SUMMARY.txt; README.md; LETTER_TO_RICK_GUERRA.md; Final Response 2025-FEFO-01396.txt; keyword_search.html; MEINDL-CASE-HS-FEMA-02430-2024-Comprehensive table of violations.txt; PARADOCS_COMPLETE_INDEX.md; paradocs_all_files.json"
"Hurricane Beryl",22,"Case-HS-FEMA-02430-2024-MEINDL-Detailed Table of Events.txt; DAMAGES_CALCULATION_LEGAL_BASIS.md; EXHIBIT_LIST_PRIORITY.csv; ADMINISTRATIVE_HEARING_PORTAL.html; eeo_comprehensive_timeline.csv; Detailed Table of Events.txt; search_index.json; AMENDED_COMPLAINT_DRAFT.md; paradocs_comprehensive_eeo_investigation.html; MASTER_TIMELINE_2018-2025.csv; MAXIMUM_DAMAGES_BY_STATUTE.md; eeo_timeline_enhanced.json; VISUAL_TIMELINE_EXHIBIT.html; CRITICAL_TERMS_REPORT.md; eeo_investigation_questions.csv; eeo_comprehensive_investigation.json; AMENDED_COMPLAINT_FORMATTED.html; critical_terms.csv; AGGRESSIVE_DAMAGES_CALCULATION.md; keyword_search.html; MEINDL-CASE-HS-FEMA-02430-2024-Comprehensive table of violations.txt; CASE_VIOLATIONS_SUMMARY.html"
"January 6, 2025",49,"Case-HS-FEMA-02430-2024-MEINDL-Detailed Table of Events.txt; GAMMA_SLIDES_CONTENT.md; COMPREHENSIVE_VIOLATIONS_ANALYSIS.md; DAMAGES_CALCULATION_LEGAL_BASIS.md; Revision 2 of scan.eml[1] (2).txt; Fwd_ Affidavit and Letter of Authorization (HS-FEMA-02430-2024).eml[1].txt; Fwd_ Affidavit and Letter of Authorization (HS-FEMA-02430-2024).eml[1] (2).txt; Tab F-9 Affidavit of Witness Anna Myers signed.txt; EEOC_SEARCH_VOCABULARY.md; CASE_VIOLATIONS_SUMMARY.html; roi_contradictions_interactive_HS-FEMA-02430-2024.json; Detailed Table of Events.txt; RAR0023278_CRITICAL_EVIDENCE_EXTRACT.html; KEY_EXHIBITS_AND_EVIDENCE.md; search_index.json; FIXED_ENHANCED_MASTER_INDEX.html; AMENDED_COMPLAINT_DRAFT.md; PROJECT_SUMMARY.md; paradocs_comprehensive_eeo_investigation.html; verification_report.json; FW_ ACTION REQUESTED_ AP - Mediation Participation HS-FEMA-02430-2024 - Immediate Response Requested.eml[1] (2).txt; FW_ ACTION REQUESTED_ AP - Mediation Participation HS-FEMA-02430-2024 - Immediate Response Requested.eml[1].txt; Merge Result.txt; CRITICAL_TERMS_REPORT.md; corrected_verified_timeline.json; AMENDED_COMPLAINT_FORMATTED.html; HEARING_PREPARATION_OUTLINE.md; SETTLEMENT_DEMAND_PACKAGE.md; COMPLETE_EMAIL_INDEX.html; VERIFICATION_REPORT.md; COMPREHENSIVE_COMMUNICATION_TIMELINE.html; MOTION_FOR_SUMMARY_JUDGMENT.md; critical_terms.csv; PROJECT_DEEP_DIVE_ANALYSIS.md; DISCOVERY_REQUESTS_SECOND_SET.md; TRULY_COMPREHENSIVE_EMAIL_INDEX.html; Tab F-5 Affidavit of RMO template_Simko Final.txt; CRITICAL_USAGE_GUIDE.md; GAMMA_APP_PRESENTATION.html; Revision 2 of scan.eml[1].txt; weighted_harm_analysis.md; keyword_search.html; MEINDL-Affidavit of Complainant-02-14-2025-R1.txt; MEINDL-CASE-HS-FEMA-02430-2024-Comprehensive table of violations.txt; SETUP_GUIDE.md; PROJECT_COMPLETION_REPORT.md; INDEX_INSTRUCTIONS.md; cursor_current_processing_status_update-052525.md; Tab F-8 Affidavit of Witness Traci Brasher_ final.txt"
"RAR0023261",36,"Case-HS-FEMA-02430-2024-MEINDL-Detailed Table of Events.txt; RE_ RAR0023261 - Vaccine Exemption Request for ....json; EXHIBIT_LIST_PRIORITY.csv; ADMINISTRATIVE_HEARING_PORTAL.html; RE_ RAR0023261 - Vaccine Exemption Request for ...(1).json; Revision 2 of scan.eml[1] (2).txt; RAR0023261 - Vaccine Exemption Request for Info....json; date_index.json; eeo_comprehensive_timeline.csv; RE_ RAR0023261 - Vaccine Exemption Request for ...(1).txt; Detailed Table of Events.txt; RAR0023278_CRITICAL_EVIDENCE_EXTRACT.html; search_index.json; AMENDED_COMPLAINT_DRAFT.md; MASTER_TIMELINE_2018-2025.csv; EEO.eml[3][1] (2).txt; RE_ RAR0023261 - Vaccine Exemption Request for ....txt; Merge Result.txt; violations_summary.json; MAXIMUM_DAMAGES_BY_STATUTE.md; RAR0023261 - Vaccine Exemption Request for Info....txt; eeo_timeline_enhanced.json; VISUAL_TIMELINE_EXHIBIT.html; CRITICAL_TERMS_REPORT.md; paradocs_legal_strategy_dashboard.html; eeo_comprehensive_investigation.json; AMENDED_COMPLAINT_FORMATTED.html; critical_terms.csv; Revision 2 of scan.eml[1].txt; keyword_search.html; MEINDL-CASE-HS-FEMA-02430-2024-Comprehensive table of violations.txt; PDFen.txt; keyword_index.json; CASE_VIOLATIONS_SUMMARY.html; paradocs-index.html; EEO.eml[3][1].txt"
"RAR0023278",38,"EXHIBIT_LIST_PRIORITY.csv; ADMINISTRATIVE_HEARING_PORTAL.html; RAR0023278 for COVID-19 Vaccine Exemption (for ...(1).json; Revision 2 of scan.eml[1] (2).txt; Office of Accessibile Systems and Technology (O....txt; Office of Accessibile Systems and Technology (O...(1).txt; email_detailed_index.json; MASTER_INDEX.html; eeo_comprehensive_timeline.csv; DAMAGES_CALCULATION_WITH_INTEREST.html; RAR0023278_CRITICAL_EVIDENCE_EXTRACT.html; search_index.json; AMENDED_COMPLAINT_DRAFT.md; paradocs_comprehensive_eeo_investigation.html; MASTER_TIMELINE_2018-2025.csv; EEO.eml[3][1] (2).txt; Merge Result.txt; MAXIMUM_DAMAGES_BY_STATUTE.md; eeo_timeline_events.csv; eeo_timeline_enhanced.json; VISUAL_TIMELINE_EXHIBIT.html; RAR0023278 for COVID-19 Vaccine Exemption (for ...(4).txt; CRITICAL_TERMS_REPORT.md; paradocs_legal_strategy_dashboard.html; eeo_comprehensive_investigation.json; AMENDED_COMPLAINT_FORMATTED.html; RAR0023278 for COVID-19 Vaccine Exemption (for ...(1).txt; critical_terms.csv; paradocs_master_timeline_enhanced.html; Revision 2 of scan.eml[1].txt; keyword_search.html; eeo_timeline_comprehensive_report.json; MEINDL-CASE-HS-FEMA-02430-2024-Comprehensive table of violations.txt; PDFen.txt; CASE_VIOLATIONS_SUMMARY.html; paradocs-index.html; RAR0023278 for COVID-19 Vaccine Exemption (for ...(4).json; EEO.eml[3][1].txt"
